0	1.0	a	Homme marié yves  menuisier  prenom homme
1	0.0	a	Veuve  anne  domestique  prenom femme
2	0.0	a	Fille marie  cultivateur  prenom femme
3	1.0	a	Garçon eugène fils du précédent   prenom homme
4	0.0	a	Fille eugénie leur fille  ouvrière  prenom femme
5	0.0	a	Fille marie leur fille   prenom femme
6	0.0	a	Veuve françoise   prenom femme
7	1.0	a	Homme marié pierre  journalier  prenom homme
8	0.0	a	Femme mariée marie sa femme   prenom femme
9	0.0	a	Femme mariée    sa femme  
10	0.0	a	Fille marguerite fille de Catherine  cultivateur  prenom femme
11	0.0	a	Fille agathe  religieuse institutrice  prenom femme
12	1.0	a	Homme marié  antoine  cultivateur  prenom homme
13	1.0	a	Homme marié pierre  prop re  prenom homme
14	1.0	a	Garçon gabriel  ouvrier  prenom homme
15	0.0	a	Fille angèle leur fille   prenom femme
16	1.0	a	Veuf jean chef de ménage  prop re cult  prenom homme
17	1.0	a	Garçon  jules leur fils   prenom homme
18	1.0	a	Homme marié jean  cultivateur  prenom homme
19	1.0	a	Homme marié pierre  laboureur  prenom homme
20	0.0	a	Fille  marie sa fille   prenom femme
21	0.0	a	Femme mariée anne sa femme   prenom femme
22	0.0	a	Fille  aimée fille idem   prenom femme
23	0.0	a	Fille  elisabeth leur fille   prenom femme
24	0.0	a	Fille gabrielle  cult r  prenom femme
25	0.0	a	Femme mariée jeanne sa femme   prenom femme
26	0.0	a	Fille antoinette fille   prenom femme
27	1.0	a	Garçon clément leur fils   prenom homme
28	1.0	a	Garçon françois leur fils   prenom homme
29	0.0	a	Fille marguerite   prenom femme
30	1.0	a	Homme marié jean  platrier  prenom homme
31	1.0	a	Garçon nicolas   prenom homme
32	1.0	a	Garçon  jean Fils cadet  Culti  prenom homme
33	1.0	a	Homme marié  francois  Boulanger  prenom homme
34	0.0	a	Femme mariée  marie sa femme   prenom femme
35	1.0	a	Garçon  antoine  cultivateur  prenom homme
36	0.0	a	Femme mariée  suzanne femme   prenom femme
37	0.0	a	Fille  jeanne  domestique  prenom femme
38	0.0	a	Fille joséphine leur fille   prenom femme
39	0.0	a	Veuve  françoise  journalière  prenom femme
40	0.0	a	Femme mariée   sa femme  sage femme  
41	1.0	a	Homme marié gilibert  cultivateur  prenom homme
42	0.0	a	Fille marie sa fme   prenom femme
43	0.0	a	Fille adèle sa fille   prenom femme
44	1.0	a	Homme marié pierre chef de ménage  cultivateur  prenom homme
45	1.0	a	Homme marié  lamathe chef de ménage  cult r  
46	1.0	a	Garçon jean leur fils   prenom homme
47	1.0	a	Garçon eugène leur fils   prenom homme
48	1.0	a	Homme marié guillaume  md de bestiaux  prenom homme
49	0.0	a	Fille rose leur fille   prenom femme
50	0.0	a	Veuve thérèse  ménagère  prenom femme
51	1.0	a	Garçon  henri leur fils   prenom homme
52	1.0	a	Veuf joseph veuf père du chef   prenom homme
53	1.0	a	Garçon pierre leur fils   prenom homme
54	1.0	a	Homme marié  pierre leur enfant  Clerc d'avoué  prenom homme
55	0.0	a	Femme mariée  anne  sans profession  prenom femme
56	0.0	a	Fille guillemette   prenom femme
57	1.0	a	Homme marié pierre  propriétaire  prenom homme
58	0.0	a	Fille françoise  domestique  prenom femme
59	1.0	a	Homme marié  claude Autre fils  Culti  prenom homme
60	0.0	a	Femme mariée  constance femme   prenom femme
61	0.0	a	Veuve catherine  s.p  prenom femme
62	0.0	a	Femme mariée marie sa fe   prenom femme
63	1.0	a	Homme marié jean leur gendre   prenom homme
64	1.0	a	Garçon françois femme Gateau   prenom homme
65	1.0	a	Garçon charly   prenom homme
66	0.0	a	Fille marie leur fille   prenom femme
67	1.0	a	Garçon  victor fils de ces derniers   prenom homme
68	1.0	a	Garçon théodore  s.p  prenom homme
69	0.0	a	Femme mariée rose sa fille  denteleuse  prenom femme
70	0.0	a	Femme mariée marie   prenom femme
71	1.0	a	Homme marié  jean  journalier  prenom homme
72	1.0	a	Garçon jacques oncle   prenom homme
73	0.0	a	Fille jeanne servante   prenom femme
74	0.0	a	Femme mariée marie sa femme   prenom femme
75	1.0	a	Garçon charles fils   prenom homme
76	0.0	a	Fille anne chef du ménage  denteleuse  prenom femme
77	1.0	a	Homme marié nicolas  prop.  prenom homme
